stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10568,10568,BALTIMORE ST & BALTIMORE ARENA,,39.289239,-76.618522,,,0,,,0
10921,10921,ROWE BLVD & TAYLOR AVE fs,,38.986696,-76.502602,,,0,,,0
11175,11175,BWI INTERNATIONAL TERMINAL eb,,39.182061,-76.669554,,,0,,,0
11469,11469,HICKORY PARK & RIDE,,39.570696,-76.351952,,,0,,,0
11470,11470,FALLSTON PARK & RIDE,,39.500205,-76.399383,,,0,,,0
11471,11471,CHEYENNE PARK & RIDE sb,,39.479816,-76.384881,,,0,,,0
11472,11472,CENTRE ST & GUILFORD AVE eb,,39.296402,-76.612055,,,0,,,0
11473,11473,CHEYENNE PARK & RIDE nb,,39.479797,-76.384742,,,0,,,0
11474,11474,CAMPUS HILLS SHOPPING CTR wb,,39.555409,-76.274497,,,0,,,0
11475,11475,AMYCLAE DR & ECON DR wb,,39.548051,-76.316751,,,0,,,0
11476,11476,BRIERHILL DR & TODD RD sb,,39.540065,-76.325291,,,0,,,0
11477,11477,BRIERHILL DR & CHAMBERS CIR  N sb,,39.536477,-76.323719,,,0,,,0
11478,11478,BRIERHILL DR & CHAMBERS CIR S sb,,39.532853,-76.322987,,,0,,,0
11479,11479,MACPHAIL RD & DEERBROOK RD wb,,39.531973,-76.329207,,,0,,,0
11480,11480,MACPHAIL RD & EDGEHILL DR wb,,39.527702,-76.337828,,,0,,,0
11482,11482,EMMORTON RD & WEST RIDING DR sb,,39.513986,-76.329647,,,0,,,0
11483,11483,EMMORTON RD & BELAIR SOUTH PKY sb,,39.498597,-76.325335,,,0,,,0
11484,11484,EMMORTON RD & HOLLY WREATH CT sb,,39.485593,-76.315765,,,0,,,0
11485,11485,EMMORTON RD & ST CLAIR RD sb,,39.473932,-76.309084,,,0,,,0
11486,11486,EMMORTON RD & WOODSDALE RD op sb,,39.466805,-76.311405,,,0,,,0
11487,11487,DOLPHIN ST & HOWARD ST eb,,39.304160,-76.620846,,,0,,,0
11488,11488,EMMORTON RD & WOODSDALE RD nb,,39.466871,-76.311037,,,0,,,0
11489,11489,EMMORTON RD & ST CLAIR RD opp nb,,39.474101,-76.308921,,,0,,,0
11490,11490,EMMORTON RD & HOLLY WREATH CT nb,,39.485701,-76.315627,,,0,,,0
11491,11491,EMMORTON RD & BELAIR SOUTH PKY nb,,39.499018,-76.325269,,,0,,,0
11492,11492,EMMORTON RD & WEST RIDING DR nb,,39.514111,-76.329541,,,0,,,0
11493,11493,EMMORTON RD & CRAFTON RD opp nb,,39.520076,-76.335234,,,0,,,0
11494,11494,MACPHAIL RD & EDGEHILL DR opp eb,,39.527743,-76.337477,,,0,,,0
11495,11495,MACPHAIL RD & DEERBROOK RD opp eb,,39.531999,-76.327982,,,0,,,0
11496,11496,BRIERHILL DR & CHAMBERS CIR S nb,,39.532965,-76.322710,,,0,,,0
11497,11497,BRIERHILL DR & CHAMBERS CIR N op nb,,39.536501,-76.323525,,,0,,,0
11498,11498,BRIERHILL DR & TODD RD nb,,39.540019,-76.324909,,,0,,,0
11499,11499,AMYCLAE DR & ECON DR fs eb,,39.547868,-76.316508,,,0,,,0
11500,11500,CAMPUS HILLS SHOPPING CTR eb,,39.555226,-76.274494,,,0,,,0
11501,11501,EMMORTON RD & CRAFTON RD sb,,39.519989,-76.335435,,,0,,,0
11502,11502,MARYWOOD PARK & RIDE,,39.555552,-76.368246,,,0,,,0
11511,11511,PRESTON ST & MARYLAND AVE wb,,39.304535,-76.617309,,,0,,,0
11519,11519,UNION AVE & GREEN ST nb,,39.549941,-76.091627,,,0,,,0
11520,11520,OTSEGO ST & JUNIATA ST P&R wb,,39.552786,-76.097587,,,0,,,0
11521,11521,US 40 & BEL AIR AVE (ABERDEEN MARC),,39.509031,-76.164009,,,0,,,0
11522,11522,US 40 & PLATER ST wb,,39.505350,-76.166228,,,0,,,0
11523,11523,US 40 & WAL-MART opp wb,,39.497088,-76.176664,,,0,,,0
11524,11524,US 40 & MD 7 MD 159 wb,,39.489223,-76.196332,,,0,,,0
11525,11525,BELCAMP PARK AND RIDE,,39.484233,-76.247017,,,0,,,0
11526,11526,US 40 & BATA BLVD wb,,39.470161,-76.236376,,,0,,,0
11527,11527,US 40 & LONG BAR HARBOR RD wb,,39.458983,-76.258338,,,0,,,0
11528,11528,US 40 & PAUL MARTIN DR wb,,39.435315,-76.315407,,,0,,,0
11529,11529,US 40 & WOODBRIDGE CTR WAY wb,,39.433914,-76.324659,,,0,,,0
11530,11530,US 40 & JOPPA FARM RD wb,,39.423937,-76.370526,,,0,,,0
11531,11531,US 40 & EBENEZER RD wb,,39.380895,-76.426945,,,0,,,0
11533,11533,US 40 & EBENEZER RD eb,,39.380692,-76.426726,,,0,,,0
11534,11534,US 40 & JOPPA FARM RD eb,,39.421985,-76.372619,,,0,,,0
11535,11535,US 40 & WOODBRIDGE CTR WAY eb,,39.433592,-76.325123,,,0,,,0
11536,11536,US 40 & PAUL MARTIN DR opp eb,,39.435022,-76.315674,,,0,,,0
