route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11694,401,2495972,201/1 BWI AIRPORT,201/1,0,390258,116439,1,0
11694,401,2495971,201/2 BWI AIRPORT,201/2,0,390259,116439,1,0
11694,401,2495985,201/16 GAITHERSBURG,201/16,1,390279,116443,1,0
11694,401,2495970,201/3 BWI AIRPORT,201/3,0,390260,116439,1,0
11694,401,2495986,201/17 GAITHERSBURG,201/17,1,390278,116443,1,0
11694,401,2495981,201/4 BWI AIRPORT,201/4,0,390249,116441,1,0
11694,401,2495987,201/18 GAITHERSBURG,201/18,1,390277,116443,1,0
11694,401,2495980,201/5 BWI AIRPORT,201/5,0,390250,116441,1,0
11694,401,2495988,201/19 GAITHERSBURG,201/19,1,390276,116443,1,0
11694,401,2495979,201/6 BWI AIRPORT,201/6,0,390251,116441,1,0
11694,401,2495989,201/20 GAITHERSBURG,201/20,1,390275,116444,1,0
11694,401,2495978,201/7 BWI AIRPORT,201/7,0,390252,116441,1,0
11694,401,2495990,201/21 GAITHERSBURG,201/21,1,390274,116444,1,0
11694,401,2495977,201/8 BWI AIRPORT,201/8,0,390253,116441,1,0
11694,401,2496003,201/22 GAITHERSBURG,201/22,1,390261,116444,1,0
11694,401,2495976,201/9 BWI AIRPORT,201/9,0,390254,116441,1,0
11694,401,2495992,201/23 GAITHERSBURG,201/23,1,390272,116444,1,0
11694,401,2495975,201/10 BWI AIRPORT,201/10,0,390255,116440,1,0
11694,401,2495993,201/24 GAITHERSBURG,201/24,1,390271,116443,1,0
11694,401,2495974,201/11 BWI AIRPORT,201/11,0,390256,116440,1,0
11694,401,2495994,201/25 GAITHERSBURG,201/25,1,390270,116444,1,0
11694,401,2495973,201/12 BWI AIRPORT,201/12,0,390257,116440,1,0
11694,401,2495995,201/26 GAITHERSBURG,201/26,1,390269,116444,1,0
11694,401,2495984,201/13 BWI AIRPORT,201/13,0,390246,116440,1,0
11694,401,2495996,201/27 GAITHERSBURG,201/27,1,390268,116444,1,0
11694,401,2495983,201/14 BWI AIRPORT,201/14,0,390247,116440,1,0
11694,401,2495997,201/28 GAITHERSBURG,201/28,1,390267,116444,1,0
11694,401,2495982,201/15 BWI AIRPORT,201/15,0,390248,116440,1,0
11694,401,2495998,201/29 GAITHERSBURG,201/29,1,390266,116444,1,0
11694,401,2495999,201/30 GAITHERSBURG,201/30,1,390265,116444,1,0
11694,401,2496000,201/31 GAITHERSBURG,201/31,1,390264,116444,1,0
11694,401,2496001,201/32 GAITHERSBURG,201/32,1,390263,116444,1,0
11694,401,2496002,201/33 GAITHERSBURG,201/33,1,390262,116443,1,0
11694,401,2495991,201/34 GAITHERSBURG,201/34,1,390273,116444,1,0
11694,402,2496004,201/1 BWI AIRPORT,201/1,0,390294,116442,1,0
11694,402,2496005,201/2 BWI AIRPORT,201/2,0,390293,116442,1,0
11694,402,2496006,201/3 BWI AIRPORT,201/3,0,390292,116442,1,0
11694,402,2496007,201/4 BWI AIRPORT,201/4,0,390291,116442,1,0
11694,402,2496008,201/5 BWI AIRPORT,201/5,0,390290,116442,1,0
11694,402,2496009,201/6 BWI AIRPORT,201/6,0,390289,116442,1,0
11694,402,2496019,201/16 GAITHERSBURG,201/16,1,390308,116445,1,0
11694,402,2496010,201/7 BWI AIRPORT,201/7,0,390288,116442,1,0
11694,402,2496020,201/17 GAITHERSBURG,201/17,1,390307,116445,1,0
11694,402,2496011,201/8 BWI AIRPORT,201/8,0,390287,116442,1,0
11694,402,2496021,201/18 GAITHERSBURG,201/18,1,390306,116445,1,0
11694,402,2496012,201/9 BWI AIRPORT,201/9,0,390286,116442,1,0
11694,402,2496022,201/19 GAITHERSBURG,201/19,1,390305,116445,1,0
11694,402,2496013,201/10 BWI AIRPORT,201/10,0,390285,116442,1,0
11694,402,2496023,201/20 GAITHERSBURG,201/20,1,390304,116445,1,0
11694,402,2496014,201/11 BWI AIRPORT,201/11,0,390284,116442,1,0
11694,402,2496024,201/21 GAITHERSBURG,201/21,1,390303,116445,1,0
11694,402,2496015,201/12 BWI AIRPORT,201/12,0,390283,116442,1,0
11694,402,2496025,201/22 GAITHERSBURG,201/22,1,390302,116445,1,0
11694,402,2496016,201/13 BWI AIRPORT,201/13,0,390282,116442,1,0
11694,402,2496026,201/23 GAITHERSBURG,201/23,1,390301,116445,1,0
11694,402,2496017,201/14 BWI AIRPORT,201/14,0,390281,116442,1,0
11694,402,2496027,201/24 GAITHERSBURG,201/24,1,390300,116445,1,0
11694,402,2496018,201/15 BWI AIRPORT,201/15,0,390280,116442,1,0
11694,402,2496028,201/25 GAITHERSBURG,201/25,1,390299,116445,1,0
11694,402,2496029,201/26 GAITHERSBURG,201/26,1,390298,116445,1,0
11694,402,2496030,201/27 GAITHERSBURG,201/27,1,390280,116445,1,0
11694,402,2496031,201/28 GAITHERSBURG,201/28,1,390297,116445,1,0
11694,402,2496032,201/29 GAITHERSBURG,201/29,1,390296,116445,1,0
11694,402,2496033,201/30 GAITHERSBURG,201/30,1,390295,116445,1,0
11694,403,2496034,201/1 BWI AIRPORT,201/1,0,390323,116442,1,0
11694,403,2496035,201/2 BWI AIRPORT,201/2,0,390322,116442,1,0
11694,403,2496036,201/3 BWI AIRPORT,201/3,0,390321,116442,1,0
11694,403,2496037,201/4 BWI AIRPORT,201/4,0,390320,116442,1,0
11694,403,2496038,201/5 BWI AIRPORT,201/5,0,390319,116442,1,0
11694,403,2496039,201/6 BWI AIRPORT,201/6,0,390318,116442,1,0
11694,403,2496049,201/16 GAITHERSBURG,201/16,1,390338,116445,1,0
11694,403,2496040,201/7 BWI AIRPORT,201/7,0,390317,116442,1,0
11694,403,2496050,201/17 GAITHERSBURG,201/17,1,390337,116445,1,0
11694,403,2496041,201/8 BWI AIRPORT,201/8,0,390316,116442,1,0
11694,403,2496051,201/18 GAITHERSBURG,201/18,1,390336,116445,1,0
11694,403,2496042,201/9 BWI AIRPORT,201/9,0,390315,116442,1,0
11694,403,2496052,201/19 GAITHERSBURG,201/19,1,390335,116445,1,0
11694,403,2496043,201/10 BWI AIRPORT,201/10,0,390314,116442,1,0
11694,403,2496053,201/20 GAITHERSBURG,201/20,1,390334,116445,1,0
11694,403,2496044,201/11 BWI AIRPORT,201/11,0,390313,116442,1,0
11694,403,2496054,201/21 GAITHERSBURG,201/21,1,390333,116445,1,0
11694,403,2496045,201/12 BWI AIRPORT,201/12,0,390312,116442,1,0
11694,403,2496055,201/22 GAITHERSBURG,201/22,1,390332,116445,1,0
11694,403,2496046,201/13 BWI AIRPORT,201/13,0,390311,116442,1,0
11694,403,2496056,201/23 GAITHERSBURG,201/23,1,390331,116445,1,0
11694,403,2496047,201/14 BWI AIRPORT,201/14,0,390310,116442,1,0
11694,403,2496057,201/24 GAITHERSBURG,201/24,1,390330,116445,1,0
11694,403,2496048,201/15 BWI AIRPORT,201/15,0,390309,116442,1,0
11694,403,2496058,201/25 GAITHERSBURG,201/25,1,390329,116445,1,0
11694,403,2496059,201/26 GAITHERSBURG,201/26,1,390328,116445,1,0
11694,403,2496060,201/27 GAITHERSBURG,201/27,1,390327,116445,1,0
11694,403,2496061,201/28 GAITHERSBURG,201/28,1,390326,116445,1,0
11694,403,2496062,201/29 GAITHERSBURG,201/29,1,390325,116445,1,0
11694,403,2496063,201/30 GAITHERSBURG,201/30,1,390324,116445,1,0
11695,401,2496064,203/1 ROCKVILLE,203/1,0,390343,116446,1,0
11695,401,2496065,203/2 ROCKVILLE,203/2,0,390342,116446,1,0
11695,401,2496066,203/3 ROCKVILLE,203/3,0,390341,116446,1,0
11695,401,2496067,203/4 ROCKVILLE,203/4,0,390340,116446,1,0
11695,401,2496068,203/5 ROCKVILLE,203/5,0,390339,116446,1,0
11695,401,2496070,203/6 SNOWDEN RIVER PARK & RIDE,203/6,1,390347,116447,1,0
11695,401,2496071,203/7 SNOWDEN RIVER PARK & RIDE,203/7,1,390346,116447,1,0
11695,401,2496072,203/8 SNOWDEN RIVER PARK & RIDE,203/8,1,390345,116447,1,0
11695,401,2496069,203/9 SNOWDEN RIVER PARK & RIDE,203/9,1,390348,116447,1,0
11695,401,2496073,203/10 SNOWDEN RIVER PARK & RIDE,203/10,1,390344,116447,1,0
11696,401,2496074,204/1 COLLEGE PARK METRO STATION,204/1,0,390353,116448,1,0
11696,401,2496075,204/2 COLLEGE PARK METRO STATION,204/2,0,390352,116448,1,0
11696,401,2496076,204/3 COLLEGE PARK METRO STATION,204/3,0,390351,116448,1,0
11696,401,2496077,204/4 COLLEGE PARK METRO STATION,204/4,0,390350,116448,1,0
11696,401,2496078,204/5 COLLEGE PARK METRO STATION,204/5,0,390349,116448,1,0
11696,401,2496079,204/6 MONOCACY MARC STATION,204/6,1,390359,116449,1,0
11696,401,2496080,204/7 MONOCACY MARC STATION,204/7,1,390358,116449,1,0
11696,401,2496081,204/8 MONOCACY MARC STATION,204/8,1,390357,116449,1,0
11696,401,2496084,204/9 MONOCACY MARC STATION,204/9,1,390354,116449,1,0
11696,401,2496082,204/10 MONOCACY MARC STATION,204/10,1,390356,116449,1,0
11696,401,2496083,204/11 MONOCACY MARC STATION,204/11,1,390355,116449,1,0
11697,401,2496087,210/1 ANNAPOLIS/BALTIMORE,210/1,0,390362,116451,1,0
11697,401,2496088,210/2 BALTIMORE,210/2,0,390361,116450,1,0
11697,401,2496085,210/3 ANNAPOLIS/BALTIMORE,210/3,0,390364,116451,1,0
11697,401,2496089,210/4 BALTIMORE,210/4,0,390360,116450,1,0
11697,401,2496086,210/5 ANNAPOLIS/BALTIMORE,210/5,0,390363,116451,1,0
11697,401,2496090,210/6 KENT ISLAND,210/6,1,390369,116453,1,0
11697,401,2496093,210/7 ANNAPOLIS,210/7,1,390366,116452,1,0
11697,401,2496091,210/8 KENT ISLAND,210/8,1,390368,116453,1,0
11697,401,2496094,210/9 ANNAPOLIS,210/9,1,390365,116452,1,0
11697,401,2496092,210/10 KENT ISLAND,210/10,1,390367,116453,1,0
11698,401,2496095,215/1 ANNAPOLIS,215/1,0,390372,116454,1,0
11698,401,2496096,215/2 ANNAPOLIS,215/2,0,390371,116454,1,0
11698,401,2496097,215/3 ANNAPOLIS,215/3,0,390370,116454,1,0
11698,401,2496098,215/4 BALTIMORE,215/4,1,390375,116455,1,0
11698,401,2496099,215/5 BALTIMORE,215/5,1,390374,116455,1,0
11698,401,2496100,215/6 BALTIMORE,215/6,1,390373,116455,1,0
11699,401,2496101,220/1 WASHINGTON DC,220/1,0,390387,116457,1,0
11699,401,2496105,220/3 WASHINGTON DC,220/3,0,390383,116457,1,0
11699,401,2496104,220/5 WASHINGTON DC,220/5,0,390384,116457,1,0
11699,401,2496107,220/7 WASHINGTON DC,220/7,0,390381,116457,1,0
11699,401,2496109,220/9 WASHINGTON DC,220/9,0,390379,116457,1,0
11699,401,2496111,220/11 WASHINGTON DC,220/11,0,390377,116457,1,0
11699,401,2496113,220/13 KENT ISLAND,220/13,1,390401,116460,1,0
11699,401,2496114,220/14 ANNAPOLIS,220/14,1,390400,116459,1,0
11699,401,2496125,220/16 ANNAPOLIS,220/16,1,390389,116459,1,0
11699,401,2496123,220/18 ANNAPOLIS,220/18,1,390391,116459,1,0
11699,401,2496121,220/20 ANNAPOLIS,220/20,1,390393,116459,1,0
11699,401,2496119,220/22 ANNAPOLIS,220/22,1,390395,116459,1,0
11699,401,2496117,220/24 ANNAPOLIS,220/24,1,390397,116459,1,0
11699,401,2496115,220/26 KENT ISLAND,220/26,1,390399,116460,1,0
11700,401,2496127,230/1 WASHINGTON DC,230/1,0,390411,116462,1,0
11700,401,2496128,230/2 WASHINGTON DC,230/2,0,390410,116461,1,0
11700,401,2496131,230/5 WASHINGTON DC,230/5,0,390407,116462,1,0
11700,401,2496132,230/6 WASHINGTON DC,230/6,0,390406,116461,1,0
11700,401,2496135,230/9 WASHINGTON DC,230/9,0,390403,116462,1,0
11700,401,2496136,230/10 WASHINGTON DC,230/10,0,390402,116461,1,0
11700,401,2496137,230/11 SEVERNA PARK,230/11,1,390423,116466,1,0
11700,401,2496148,230/12 SEVERNA PARK,230/12,1,390412,116465,1,0
11700,401,2496147,230/13 ANNAPOLIS,230/13,1,390413,116464,1,0
11700,401,2496144,230/16 SEVERNA PARK,230/16,1,390416,116465,1,0
11700,401,2496143,230/17 ANNAPOLIS,230/17,1,390417,116463,1,0
11700,401,2496140,230/20 SEVERNA PARK,230/20,1,390420,116465,1,0
11700,401,2496139,230/21 ANNAPOLIS,230/21,1,390421,116463,1,0
11700,401,2496138,230/22 SEVERNA PARK,230/22,1,390422,116466,1,0
11701,401,2496149,240/1 WASHINGTON DC,240/1,0,390428,116467,1,0
11701,401,2496150,240/2 WASHINGTON DC,240/2,0,390427,116467,1,0
11701,401,2496151,240/3 WASHINGTON DC,240/3,0,390426,116467,1,0
11701,401,2496152,240/4 WASHINGTON DC,240/4,0,390425,116467,1,0
11701,401,2496153,240/5 WASHINGTON DC,240/5,0,390424,116467,1,0
11701,401,2496154,240/6 KENT ISLAND,240/6,1,390434,116468,1,0
11701,401,2496155,240/7 KENT ISLAND,240/7,1,390433,116468,1,0
11701,401,2496156,240/8 KENT ISLAND,240/8,1,390432,116468,1,0
11701,401,2496157,240/9 KENT ISLAND,240/9,1,390431,116468,1,0
11701,401,2496158,240/10 KENT ISLAND,240/10,1,390430,116468,1,0
11701,401,2496159,240/11 KENT ISLAND,240/11,1,390429,116468,1,0
11702,401,2496160,250/1 WASHINGTON DC,250/1,0,390440,116469,1,0
11702,401,2496161,250/2 WASHINGTON DC,250/2,0,390439,116469,1,0
11702,401,2496162,250/3 WASHINGTON DC,250/3,0,390438,116469,1,0
11702,401,2496163,250/4 WASHINGTON DC,250/4,0,390437,116469,1,0
11702,401,2496164,250/5 WASHINGTON DC,250/5,0,390436,116469,1,0
11702,401,2496165,250/6 WASHINGTON DC,250/6,0,390435,116469,1,0
11702,401,2496166,250/7 KENT ISLAND,250/7,1,390446,116470,1,0
11702,401,2496167,250/8 KENT ISLAND,250/8,1,390445,116470,1,0
11702,401,2496168,250/9 KENT ISLAND,250/9,1,390444,116470,1,0
11702,401,2496169,250/10 KENT ISLAND,250/10,1,390443,116470,1,0
11702,401,2496170,250/11 KENT ISLAND,250/11,1,390442,116470,1,0
11702,401,2496171,250/12 KENT ISLAND,250/12,1,390441,116470,1,0
11703,401,2496172,260/1 WASHINGTON DC,260/1,0,390452,116471,1,0
11703,401,2496173,260/2 WASHINGTON DC,260/2,0,390451,116471,1,0
11703,401,2496174,260/3 WASHINGTON DC,260/3,0,390450,116471,1,0
11703,401,2496175,260/4 WASHINGTON DC,260/4,0,390449,116471,1,0
11703,401,2496176,260/5 WASHINGTON DC,260/5,0,390448,116471,1,0
11703,401,2496177,260/6 WASHINGTON DC,260/6,0,390447,116471,1,0
11703,401,2496178,260/7 SEVERNA PARK,260/7,1,390458,116472,1,0
11703,401,2496179,260/8 SEVERNA PARK,260/8,1,390457,116472,1,0
11703,401,2496180,260/9 SEVERNA PARK,260/9,1,390456,116472,1,0
11703,401,2496181,260/10 SEVERNA PARK,260/10,1,390455,116472,1,0
11703,401,2496182,260/11 SEVERNA PARK,260/11,1,390454,116472,1,0
11703,401,2496183,260/12 SEVERNA PARK,260/12,1,390453,116472,1,0
11707,401,2496312,305/1 WASHINGTON DC,305/1,0,390589,116599,1,0
11707,401,2496313,305/2 WASHINGTON DC,305/2,0,390588,116599,1,0
11707,401,2496314,305/3 WASHINGTON DC,305/3,0,390587,116599,1,0
11707,401,2496315,305/4 WASHINGTON DC,305/4,0,390586,116599,1,0
11707,401,2496316,305/5 WASHINGTON DC,305/5,0,390585,116599,1,0
11707,401,2496317,305/6 WASHINGTON DC,305/6,0,390584,116599,1,0
11707,401,2496318,305/7 WASHINGTON DC,305/7,0,390583,116599,1,0
11707,401,2496319,305/8 WASHINGTON DC,305/8,0,390582,116599,1,0
11707,401,2496320,305/9 WASHINGTON DC,305/9,0,390581,116599,1,0
