stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7625,7625,Glen Burnie (Cromwell) (Northbound),,39.172429,-76.633257,,,0,s7001,,0
7626,7626,Ferndale (Northbound),,39.18406,-76.640283,,,0,s7002,,0
7627,7627,BWI Airport (Northbound),,39.183154,-76.670089,,,0,s7003,,0
7628,7628,BWI Business District (Northbound),,39.191367,-76.672703,,,0,s7004,,0
7630,7630,Linthicum (Northbound),,39.202632,-76.655102,,,0,s7005,,0
7631,7631,North Linthicum (Northbound),,39.214631,-76.645797,,,0,s7006,,0
7632,7632,Nursery Road (Northbound),,39.221882,-76.641196,,,0,s7007,,0
7634,7634,Baltimore Highlands (Northbound),,39.235445,-76.632728,,,0,s7008,,0
7635,7635,Patapsco (Northbound),,39.242316,-76.629792,,,0,s7009,,0
7637,7637,Cherry Hill (Northbound),,39.256368,-76.634827,,,0,s7010,,0
7638,7638,Westport (Northbound),,39.262129,-76.631889,,,0,s7011,,0
7639,7639,Hamburg Street (Northbound),,39.279295,-76.61968,,,0,s7012,,0
7640,7640,Camden Station / Camden Yards (Northbound),,39.283704,-76.619407,,,0,s7013,,0
7641,7641,Convention Center (Northbound),,39.28616,-76.619353,,,0,s7014,,0
7642,7642,Baltimore Arena (University Center) (Northbound),,39.289084,-76.619428,,,0,s7015,,0
7643,7643,Lexington Market (Northbound),,39.292568,-76.619573,,,0,s7016,,0
7644,7644,Mt. Vernon (Centre Street) (Northbound),,39.297178,-76.619931,,,0,s7017,,0
7645,7645,Cultural Center / State Center (Northbound),,39.304092,-76.620446,,,0,s7018,,0
7646,7646,Mt. Royal / MICA (Northbound),,39.307747,-76.619858,,,0,s7019,,0
7647,7647,Penn Station (Northbound),,39.307625,-76.61574,,,0,s7020,,0
7648,7648,North Avenue (Northbound),,39.312245,-76.622728,,,0,s7021,,0
7649,7649,MTA Light Rail Division,,39.315396,-76.625883,,,0,,America/New_York,0
7650,7650,Woodberry (Northbound),,39.33155,-76.643475,,,0,s7022,,0
